"Keyword","Category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"miss dior","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"máy matxa cầm tay","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"máy matxa cầm tay","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"máy matxa cầm tay","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"nôi tre","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies",
"đèn mây tre","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"máy thổi bụi cầm tay","Thiết Bị Điện Gia Dụng","Home Appliances","Home & Living",
"bánh dẻo","Bách Hóa Online","Grocery","Grocery",
"hình xăm chữ trung quốc","Others","Health & Beauty","Fashion Accessories",
"hydroquinone 4","Sức Khỏe & Sắc Đẹp",,"Health & Beauty","Health & Beauty"
"cửa xổ","Nhà Cửa & Đời Sống",,"Home & Living",
"giá chở hàng xe máy","Ô tô - xe máy - xe đạp","Home & Living","Home & Living","Home & Living"
"máy làm bánh cá","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"đèn đường năng lượng mặt trời","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"cao hắc sâm hàn quốc","Sức Khỏe & Sắc Đẹp","Health & Beauty",,
"hoa giấy","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"hộp cơm giữ nhiệt lock and lock","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"naruto lego","Mẹ & Bé","Toys","Toys",
"naruto lego","Mẹ & Bé","Toys","Toys",
"miếng dán nâng ngực","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"phao cơ","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"tinh dầu bưởi cocoon","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"cosplay đồ ngủ","Thời Trang Nữ","Women Clothes","Women Clothes",
"suối nguồn","Nhà Sách Online","Books","Books",
"kem klairs","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"hàu biển ob new","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"tin thanh","Thiết Bị Điện Tử","Books",,
"phích nước rạng đông","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giày adidas nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"kiêu hãnh và định kiến","Nhà Sách Online","Books","Books","Books"
"nước hoa chiết","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"dép nam quai ngang","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"bình xăng con","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"xe trượt cho bé","Mẹ & Bé","Toys","Toys","Toys"
"đèn bàn thờ","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"máy điện xung","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"máy điện xung","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"kẹo alpenliebe","Bách Hóa Online","Grocery","Grocery","Grocery"
"kẹo alpenliebe","Bách Hóa Online","Grocery","Grocery","Grocery"
"mồi câu cá chép","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"may rua xe","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"lens mắt","Sức Khỏe & Sắc Đẹp","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"ngựa pony","Mẹ & Bé","Toys","Toys",
"saigon swagger","Túi Ví","Men Clothes","Men Clothes","Men Clothes"
"detox blanc","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"nẹp dây điện","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"túi celine","Túi Ví","Bags","Bags",
"vua nệm","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bình thủy tinh","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"vách ngăn phòng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"mầm đậu nành","Sức Khỏe & Sắc Đẹp","Moms, Kids & Babies","Health & Beauty","Health & Beauty"
"vòng đeo tay nam","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Men Clothes"
"ghe xoay van phong","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"rùa cảnh","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"tiêu ban lộ","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"sk2","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"chiến binh cầu vồng","Nhà Sách Online","Books","Books",
"bàn học sinh viên","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"khay nhựa chữ nhật","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bàn tròn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"quạt sưởi","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"máy giặt lg","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"giày trắng nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"anti bio","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"xúc xích phomai","Bách Hóa Online","Grocery","Grocery","Grocery"
"dạ kí","Đồ Chơi","Books",,
"dạ kí","Đồ Chơi","Books",,
"đèn lét","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"usb type c","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop",
"oppo f1w","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"tay cầm xbox","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"kính gọng tròn","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"jamlos","Túi Ví","Bags","Bags",
"rèm ngăn lạnh","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"que kem","Bách Hóa Online","Home & Living","Home & Living","Home & Living"
"hapas","Túi Ví","Women Shoes","Women Shoes","Women Shoes"
"hapas","Túi Ví","Women Shoes","Women Shoes","Women Shoes"
"hapas","Túi Ví","Women Shoes","Women Shoes","Women Shoes"
"mouse","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"bàn trang điểm gỗ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"bút thủy tinh","Sức Khỏe & Sắc Đẹp","Books","Books",
"máy nghe nhạc bluetooth","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"phao cơ thông minh","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"toner labo labo","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"túi đeo chéo canvas","Túi Ví","Bags","Bags","Bags"
"búp bê tình dục","Others","Toys","Toys",
"đá moissanite","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories",
"ryzen 5 2600","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop",
"samsung a20s","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"cỏ may mắn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"trung niên","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"ly cà phê","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"vest nam","Thời Trang Nam","Men Clothes","Men Clothes","Men Clothes"
"loa bluetooth sony","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"trần dần","Nhà Sách Online","Books","Books",
"drake","Thời Trang Nam","Men Shoes","Men Shoes",
"drake","Thời Trang Nam","Men Shoes","Men Shoes",
"sneakers","Giày Dép Nữ","Women Shoes","Women Shoes",
"bánh kẹo","Bách Hoá Online","Grocery","Grocery","Grocery"
"cocoon","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"khóa đĩa xe máy","Ô tô - xe máy - xe đạp","Automotive","Home & Living",
"khóa đĩa xe máy","Ô tô - xe máy - xe đạp","Automotive","Home & Living",
"bàn ghế inox","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"sơn đồ gỗ","Nhà Cửa & Đời Sống","Home & Living","Home care",
"con ruốc","Bách Hóa Online","Grocery","Grocery",
"quạt giấy trang trí tết","Thiết Bị Điện Gia Dụng","Home & Living","Toys",
"man hinh j7 prime","Thiết Bị Điện Tử","Mobile & Accessories","Mobile & Accessories",
"i59400f","Thiết Bị Điện Tử","Computer & Laptop",,
"dentiste","Sức Khỏe & Sắc Đẹp","Grocery","Grocery","Health & Beauty"
"kem hăm","Sức Khỏe & Sắc Đẹp","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
"bút sơn","Nhà Sách Online","Books","Books","Books"
"đồng hồ đo nhiệt độ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"mô hình iron man","Đồ Chơi","Toys","Toys","Toys"
"vách ngăn phòng thờ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"quạt không cánh","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"kéo cắt tóc","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"máy in ảnh","Máy ảnh - Máy quay phim","Computer & Laptop","Computer & Laptop",
"thuốc sâu sinh học","Nhà Cửa & Đời Sống","Home & Living",,
"ảnh nude","Nhà Cửa & Đời Sống",,"Women Clothes",
"note 8 pro","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"án mạng trên sông nile","Nhà Sách Online","Books","Books",
"raisins","Bách Hóa Online","Grocery","Grocery",
"raisins","Bách Hóa Online","Grocery","Grocery",
"bàn nâng xe máy","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"kẹp tăm","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"dàn áo xe sirius","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"máy nhồi bột","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances",
"thế giới di dộng","Điện Thoại & Phụ Kiện","Consumer Electronics",,
"băng vệ sinh quần","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bơm tăng áp panasonic","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"epiduo","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"truyện kiếm hiệp","Nhà Sách Online","Books",,
"thanh gươm diệt quỷ","Nhà Sách Online","Books","Books","Books"
"tarot","Nhà Sách Online","Toys","Toys","Toys"
"tarot","Nhà Sách Online","Toys","Toys","Toys"
"vật tư điện lạnh","Thiết Bị Điện Gia Dụng","Home Appliances",,
"dép hm","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"thuốc nhuộm vải","Thời Trang Nữ","Home care","Home care","Home care"
"passion","Nhà Sách Online","Books","Grocery",
"amply karaoke","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"giày đạp xe","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"túi tập gym","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"happykids","Thời Trang Trẻ Em","Moms, Kids & Babies",,
"kệ để dép","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giảm cân tiến hạnh","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"giảm cân tiến hạnh","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"bop nam","Túi Ví","Men Clothes","Men Clothes",
"bop nam","Túi Ví","Men Clothes","Men Clothes",
"bop nam","Túi Ví","Men Clothes","Men Clothes",
"giày skecher","Giày Dép Nữ","Men Shoes","Women Shoes",
"hộp đựng giấy vệ sinh","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"ổ cứng","Máy tính & Laptop","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"men ruou","Bách Hóa Online","Grocery","Grocery",
"lồng mèo","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"máy chạy bộ tại nhà","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"ván ép","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"lều tự bung","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"kem sâm vàng","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"khau trang y te","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"khau trang y te","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"đồng hồ pagini","Đồng Hồ","Watches","Watches","Watches"
"quạt usb","Điện Thoại & Phụ Kiện","Home Appliances","Home Appliances","Computer & Laptop"
"vòng thạch anh","Phụ Kiện Thời Trang","Fashion Accessories","Fashion Accessories",
"i12","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"lò nướng than","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"ốp tường nhựa","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"muối chấm hoa quả","Bách Hóa Online","Grocery","Grocery",
"bàn học thông minh cho bé","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"redmin","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"action figure","Nhà Sách Online","Toys","Toys",
"xe côn tay","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"ghế tập tạ","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"iphone 6s lock","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"ô ăn quan","Đồ Chơi","Toys","Toys","Toys"
"phong thần diễn nghĩa","Nhà Sách Online","Books","Books",
"bơm tăng áp","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"zhiyun smooth 4","Máy ảnh - Máy quay phim","Cameras","Cameras",
"thảm trải sàn phòng khách","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"serum rau má","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bể cá cảnh","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"thùng tôn","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"xe sh mode","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"camera wifi ngoài trời","Máy ảnh - Máy quay phim","Cameras","Cameras","Cameras"
"kích điện 12v lên 220v","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"timan","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"remote tivi samsung","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"remote tivi samsung","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"giảm cân vichi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"máy in canon 2 mặt","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"tranh dán tường 3d phòng khách","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"tranh dán tường 3d phòng khách","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"cao ly đầu hình","Others","Computer & Laptop",,
"keycool kc84","Thiết Bị Điện Tử","Computer & Laptop","Computer & Laptop","Computer & Laptop"
"kẹo cu đơ","Bách Hoá Online","Grocery","Grocery","Grocery"
"kulzsc","Nhà Sách Online","Books","Books","Books"
"pallet gỗ giá rẻ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"đào thất thốn","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"máy sạc bình ắc quy","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"bioderma xanh","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"hộp cơm hâm nóng","Nhà Cửa & Đời Sống","Home Appliances","Home & Living",
"loa keo keo","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"đầm maxi","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"balo du lich","Túi Ví","Sports & Outdoors","Men Clothes",
"piaggio","Ô tô - xe máy - xe đạp","Automotive",,
"piaggio","Ô tô - xe máy - xe đạp","Automotive",,
"phô mai sợi","Bách Hoá Online","Grocery","Grocery","Grocery"
"tóc dài","Sức Khỏe & Sắc Đẹp","Fashion Accessories","Fashion Accessories",
"tóc dài","Sức Khỏe & Sắc Đẹp","Fashion Accessories","Fashion Accessories",
"gạo lứt đen","Bách Hoá Online","Grocery","Grocery","Grocery"
"máy niệm phật","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Home & Living"
"máy niệm phật","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Home & Living"
"khuôn gói bánh chưng","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"tóc uốn","Sức Khỏe & Sắc Đẹp","Health & Beauty","Fashion Accessories",
"sữa chuối","Bách Hóa Online","Grocery","Grocery",
"kệ úp chén inox","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"enterogermina","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"người sắt","Đồ Chơi","Toys","Toys",
"tinh dầu tràm trà","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"mã vận đơn","Nhà Sách Online","Home & Living","Toys",
"mã vận đơn","Nhà Sách Online","Home & Living","Toys",
"bao bi","Sức Khỏe & Sắc Đẹp","Home & Living","Home & Living",
"cân điện tử sức khoẻ","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Others"
"cặp sách đi học","Túi Ví","Bags","Bags",
"dán sàn giả gỗ","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giấy lót nồi chiên không dầu","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"giấy lót nồi chiên không dầu","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"loa kéo có màn hình","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"đèn năng lượng măt trời","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"táo mèo khô","Bách Hóa Online","Grocery","Grocery","Grocery"
"cây phát lộc","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"tăm nước xiaomi","Thiết Bị Điện Gia Dụng","Health & Beauty","Health & Beauty","Health & Beauty"
"lomo card blackpink","Nhà Sách Online","Books","Books","Books"
"lomo card blackpink","Nhà Sách Online","Books","Books","Books"
"samsung note 10","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"sạc du phong","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"redmi k30 pro","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"đảo hải tặc","Đồ Chơi","Books","Toys",
"đảo hải tặc","Đồ Chơi","Books","Toys",
"giày boston","Giày Dép Nam","Women Shoes","Women Shoes","Men Shoes"
"giày boston","Giày Dép Nam","Women Shoes","Women Shoes","Men Shoes"
"ngũ cốc ăn kiêng","Bách Hoá Online","Grocery","Grocery","Grocery"
"sắc mộc thiên","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"áo burberry nam","Thời Trang Nam","Men Clothes","Men Clothes",
"bếp nướng điện không khói","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"thuốc nhuộm tóc thảo dược","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"cá 7 màu","Chăm sóc thú cưng","Pet Supplies","Pet Supplies","Pet Supplies"
"code","Others","Health & Beauty","Books",
"tô màu","Nhà Sách Online","Home & Living","Books",
"89gundam","Nhà Sách Online","Toys","Toys",
"89gundam","Nhà Sách Online","Toys","Toys",
"túi sách","Túi Ví","Bags","Bags","Bags"
"bổ não ginkgo","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bàn trang điểm thông minh","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"áo khoác nữ kaki","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"xiaomi redmi note 8 pro","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"áo croptop kiểu hàn quốc","Thời Trang Nữ","Women Clothes","Women Clothes",
"samsung m51","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"keo dán giày da","Giày Dép Nam","Home & Living","Home & Living","Women Shoes"
"keo dán giày da","Giày Dép Nam","Home & Living","Home & Living","Women Shoes"
"bia 333","Bách Hoá Online","Grocery","Grocery",
"ốc salaya","Ô tô - xe máy - xe đạp","Automotive","Automotive","Automotive"
"tranh sơn dầu","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"đồ chơi người lớn","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"type c","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"túi niêm phong","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"túi niêm phong","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"thức ăn thú cưng","Chăm sóc thú cưng","Pet Supplies","Pet Supplies",
"redmi 5","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"dép nam hàng hiệu","Giày Dép Nam","Men Shoes","Women Shoes",
"bánh gối","Bách Hóa Online","Home & Living","Grocery",
"hồng táo","Bách Hóa Online","Grocery","Grocery",
"ghế game thủ","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"áo dài suông","Thời Trang Nữ","Women Clothes","Women Clothes",
"anta","Thể Thao & Du Lịch","Sports & Outdoors","Sports & Outdoors",
"loa bass 30","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"máy hàn cell pin","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"cân nhơn hòa 100kg","Nhà Cửa & Đời Sống","Home & Living",,
"mũ lưỡi trai nam","Phụ Kiện Thời Trang","Men Clothes","Men Clothes","Men Clothes"
"mặt hoa da phấn","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty",
"ắc quy ô tô","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"sữa rửa mặt la roche posay","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"bình đựng nước thủy tinh","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"sạc không dây","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"sạc không dây","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"thiết bị phát wifi 4g","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"giày boot nam","Giày Dép Nam","Men Shoes","Men Shoes","Men Shoes"
"thảm phòng khách","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"phao bơi cho bé","Mẹ & Bé","Toys","Toys","Moms, Kids & Babies"
"elasten","Sức Khỏe & Sắc Đẹp","Health & Beauty","Grocery",
"chuột silent","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"khay nhựa","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"nồi đa năng","Thiết Bị Điện Gia Dụng","Home Appliances","Home Appliances","Home Appliances"
"phuộc ohlins vario","Ô tô - xe máy - xe đạp","Automotive","Automotive",
"vỉ nướng điện","Nhà Cửa & Đời Sống","Home Appliances","Home Appliances",
"dầu gội dove","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"tủ kính","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"túi xách nữ hàng hiệu","Túi Ví","Bags","Bags",
"phỉ ngã tư tồn","Nhà Sách Online","Books","Books",
"dép chống trơn trượt","Điện Thoại & Phụ Kiện","Women Shoes","Women Shoes","Men Shoes"
"máy in màu","Máy tính & Laptop","Computer & Laptop","Computer & Laptop",
"tui xach nam","Túi Ví","Men Clothes","Men Clothes",
"tấm cao su chịu nhiệt","Nhà Cửa & Đời Sống","Home & Living","Automotive",
"bộc chống sốc","Nhà Sách Online","Home & Living","Home & Living",
"lưới inox 304","Nhà Cửa & Đời Sống","Home & Living","Pet Supplies","Pet Supplies"
"áo khoác jean nữ","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"giường phun xăm","Nhà Cửa & Đời Sống","Health & Beauty","Health & Beauty",
"chân loa","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics","Consumer Electronics"
"cao gừng tan mỡ","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"tinh dầu bưởi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"tinh dầu bưởi","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"dép bánh mì","Giày Dép Nữ","Women Shoes","Women Shoes","Women Shoes"
"màng co","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"vsmart","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories","Mobile & Accessories"
"diện máy xanh","Nhà Cửa & Đời Sống","Mobile & Accessories",,
"bút dạ quang","Nhà Sách Online","Books","Books","Books"
"son roses","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"quần tập gym nữ","Thể Thao & Du Lịch","Women Clothes","Women Clothes","Women Clothes"
"đèn kéo quân","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"nails","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"nails","Sức Khỏe & Sắc Đẹp","Health & Beauty","Health & Beauty","Health & Beauty"
"sơn xịt chống thấm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"ghế ngủ văn phòng","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"windbreaker","Thể Thao & Du Lịch","Men Clothes","Men Clothes",
"keo","Nhà Cửa & Đời Sống","Health & Beauty","Books","Books"
"giấy","Nhà Cửa & Đời Sống","Books","Books","Books"
"mạch loa kéo công suất lớn","Thiết Bị Điện Tử","Consumer Electronics","Consumer Electronics",
"epoxy resin","Nhà Cửa & Đời Sống","Home & Living","Home & Living",
"xiaomi mi note 10","Điện Thoại & Phụ Kiện","Mobile & Accessories","Mobile & Accessories",
"ao dai","Thời Trang Nữ","Women Clothes","Women Clothes",
"bralette","Thời Trang Nữ","Women Clothes","Women Clothes","Women Clothes"
"túi xách","Túi Ví","Bags","Bags","Bags"
"túi xách","Túi Ví","Bags","Bags","Bags"
"đồ dùng học tập","Nhà Sách Online","Books","Books","Books"
"cao hồng sâm","Sức Khỏe & Sắc Đẹp","Grocery","Health & Beauty",
"hộp nhựa đựng thực phẩm","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"capture card","Máy tính & Laptop","Computer & Laptop","Computer & Laptop","Consumer Electronics"
"bút xoay","Thời Trang Nữ","Books","Books","Home & Living"
"khuôn đúc chậu","Nhà Cửa & Đời Sống","Home & Living","Home & Living","Home & Living"
"kem hăm bepanthen","Mẹ & Bé","Moms, Kids & Babies","Moms, Kids & Babies","Moms, Kids & Babies"
